drug,adr,a,b,c,d,prr,prr_signal,ror,ror_signal,ic,ic_signal
canagliflozin,Blood triglycerides increased,1,516,22,52153,6.715057915057915,False,6.731655372700871,False,1.0475771042829805,False
canagliflozin,Blood urine present,1,516,20,52155,7.37018551652698,False,7.38868557127004,False,1.0871274780029665,False
canagliflozin,Body mass index decreased,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Borderline personality disorder,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Brain stem infarction,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Bronchitis,1,516,38,52137,3.924384495813067,False,3.9328773839906463,False,0.7650365205193962,False
canagliflozin,COVID-19,1,516,55,52120,2.7223207763748305,False,2.727322676015803,False,0.5153191385388088,False
canagliflozin,Cardiac failure,1,516,124,52051,1.2135646834442015,False,1.2141849100176116,False,-0.20286027105982127,False
canagliflozin,Cardiovascular disorder,1,516,36,52139,4.139419262706934,False,4.148536646819345,False,0.7974728031426428,False
canagliflozin,Cataract,2,515,36,52139,6.899032104511557,False,6.9276404076372184,False,1.5181290993215564,False
canagliflozin,Cellulitis,5,512,17,52158,31.65670159955874,True,31.985700348432054,True,2.941685882922536,True
canagliflozin,Cerebral infarction,4,513,11,52164,39.414470370992106,True,39.7511112992676,True,2.797694895338989,True
canagliflozin,Cerebrovascular accident,1,516,107,52068,1.4054772380353775,False,1.4066548098786555,False,-0.05627599967078086,False
canagliflozin,Cervix carcinoma,2,515,0,52175,503.62934362934357,False,506.06692531522793,False,2.266389588589798,False
canagliflozin,Chronic hepatic failure,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Chronic kidney disease,1,516,52,52123,2.877881963596249,False,2.883335638224312,False,0.5563622110784401,False
canagliflozin,Colitis ulcerative,1,516,16,52159,9.156897156897157,False,9.180586112822319,False,1.1696375424576508,False
canagliflozin,Condition aggravated,1,516,235,51940,0.6415660428399281,False,0.6405250923351071,False,-0.9084643781188321,False
canagliflozin,Constipation,3,514,133,52042,2.640753112663225,True,2.651914698463655,True,0.9320497188206418,True
canagliflozin,Coronary artery disease,1,516,39,52136,3.825032989589951,False,3.8332373448356147,False,0.7490878182767512,False
canagliflozin,Cushing's syndrome,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Cystitis,2,515,33,52142,7.516855875064831,False,7.5484604137411875,False,1.567620754939047,False
canagliflozin,Death,3,514,199,51976,1.7671205039626094,False,1.7723390107922867,False,0.49586883907132,True
canagliflozin,Decreased appetite,1,516,198,51977,0.7611526603969928,False,0.7604590088783008,False,-0.7093115123009537,False
canagliflozin,Deep vein thrombosis,2,515,6,52169,38.74071874071874,False,38.92374841453406,False,2.111554470431118,False
canagliflozin,Dehydration,6,511,317,51858,2.062104399112273,True,2.07560132696023,True,0.8249778028347112,True
canagliflozin,Delirium,1,516,25,52150,5.925051101521689,False,5.939354250896874,False,0.9902130592684695,False
canagliflozin,Dementia Alzheimer's type,2,515,3,52172,71.94704908990623,False,72.29111819315506,False,2.186895844302916,False
canagliflozin,Diabetes mellitus inadequate control,1,516,281,51894,0.5367275420561388,False,0.5353821234948305,False,-1.122964027808329,False
canagliflozin,Diabetic foot,2,515,11,52164,21.896927983884503,False,21.998270990595877,False,1.9941198720711357,False
canagliflozin,Diabetic foot infection,2,515,1,52174,167.87644787644788,False,168.68574199806014,False,2.239402049971008,False
canagliflozin,Diabetic gangrene,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Diabetic hyperosmolar coma,1,516,8,52167,17.77515330456507,False,17.823871077956838,False,1.3503247648202354,False
canagliflozin,Diabetic ketoacidosis,23,494,385,51790,6.1402280546249415,True,6.384505828707219,True,2.383642033959465,True
canagliflozin,Diabetic retinopathy,1,516,20,52155,7.37018551652698,False,7.38868557127004,False,1.0871274780029665,False
canagliflozin,Diarrhoea,5,512,1090,51085,0.5080167611116717,False,0.5027369409870165,False,-1.031632724632015,False
canagliflozin,Diplegia,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Disorientation,1,516,34,52141,4.379385596776901,False,4.3891998821499225,False,0.830655160772841,False
canagliflozin,Dizziness,6,511,329,51846,1.9870049976271522,False,1.9995475831297458,False,0.77941035384928,True
canagliflozin,Drug eruption,1,516,13,52162,11.191763191763192,False,11.22136172959019,False,1.2347723692766996,False
canagliflozin,Dry mouth,1,516,41,52134,3.640694050332604,False,3.6483630553190496,False,0.7177097925516251,False
canagliflozin,Dysarthria,1,516,39,52136,3.825032989589951,False,3.8332373448356147,False,0.7490878182767512,False
canagliflozin,Dysentery,1,516,4,52171,33.575289575289574,False,33.66989351403679,False,1.4499302501367093,False
canagliflozin,Dyslipidaemia,1,516,13,52162,11.191763191763192,False,11.22136172959019,False,1.2347723692766996,False
canagliflozin,Dyspepsia,1,516,66,52109,2.2720120765233545,False,2.2757062064648554,False,0.374092003044826,False
canagliflozin,Dyspnoea,2,515,376,51799,0.6688304696272823,False,0.6672244098291605,False,-0.7514932880908332,False
canagliflozin,Dysstasia,1,516,19,52156,7.748143748143748,False,7.767741455059945,False,1.1073168298304974,False
canagliflozin,Eating disorder symptom,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Eczema,3,514,22,52153,15.66846846846847,True,15.768253968253969,True,2.2314745269776624,True
canagliflozin,Emphysematous cystitis,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Epididymitis,1,516,4,52171,33.575289575289574,False,33.66989351403679,False,1.4499302501367093,False
canagliflozin,Eructation,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Erythema multiforme,2,515,8,52167,29.62525550760845,False,29.764078279226336,False,2.0634275951362704,False
canagliflozin,Euglycaemic diabetic ketoacidosis,21,496,322,51853,6.7150579150579155,True,6.962537764350453,True,2.475637525353559,True
canagliflozin,Extremity necrosis,1,516,7,52168,20.145173745173746,False,20.20077444336883,False,1.3745888762649119,False
canagliflozin,Facial paralysis,2,515,2,52173,100.72586872586874,False,101.20950533462657,False,2.2129100929945955,False
canagliflozin,Fanconi syndrome,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Fatigue,2,515,439,51736,0.5729571599878768,False,0.5708861471847141,False,-0.9491914487548399,False
canagliflozin,Fear,1,516,11,52164,13.138156790330703,False,13.173407971715982,False,1.2798888976284937,False
canagliflozin,Feeling abnormal,1,516,104,52071,1.4458258668784982,False,1.4471206177019598,False,-0.028788173761012486,False
canagliflozin,Femur fracture,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Flank pain,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Fluid overload,1,516,6,52169,23.244431244431247,False,23.30903269044605,False,1.3992680671110613,False
canagliflozin,Food poisoning,1,516,5,52170,27.47069147069147,False,27.547566663733168,False,1.4243767861847927,False
canagliflozin,Fournier's gangrene,10,507,38,52137,27.47069147069147,True,28.018360949395433,True,3.434828700622824,True
canagliflozin,Functional gastrointestinal disorder,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Fungal infection,2,515,28,52147,8.835602519813046,False,8.873602532033283,False,1.6540775892369775,False
canagliflozin,Gait disturbance,1,516,81,52094,1.8538503446478904,False,1.856330064913083,False,0.2013965893091943,False
canagliflozin,Gangrene,3,514,4,52171,78.34234234234233,True,78.86848072562358,True,2.6216604884475094,True
canagliflozin,Gastric cancer,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Gastric ulcer,1,516,19,52156,7.748143748143748,False,7.767741455059945,False,1.1073168298304974,False
canagliflozin,Gastritis,2,515,26,52149,9.502440445836672,False,9.543674395622496,False,1.6901651688512747,False
canagliflozin,Gastrointestinal disorder,1,516,130,52045,1.157768606044468,False,1.15822679173482,False,-0.25123427178022695,False
canagliflozin,Gastrooesophageal reflux disease,4,513,32,52143,13.946658746658745,True,14.060115347165006,True,2.398931084434847,True
canagliflozin,Genital infection,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Glucose urine present,1,516,5,52170,27.47069147069147,False,27.547566663733168,False,1.4243767861847927,False
canagliflozin,Glycosuria,2,515,3,52172,71.94704908990623,False,72.29111819315506,False,2.186895844302916,False
canagliflozin,Glycosylated haemoglobin increased,1,516,161,52014,0.9355343844507931,False,0.9353471658189948,False,-0.4781961227702398,False
canagliflozin,Haemangioma of liver,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Haematocrit increased,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Haemorrhage subcutaneous,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Headache,1,516,324,51851,0.46560494018121135,False,0.46405297001716844,False,-1.2981946399045503,False
canagliflozin,Hepatic function abnormal,3,514,26,52149,13.303416624171343,True,13.387113335900398,True,2.1574353722981114,True
canagliflozin,Hepatic neoplasm,1,516,2,52173,60.435521235521236,False,60.6081316553727,False,1.5024364558048016,False
canagliflozin,Herpes zoster,1,516,27,52148,5.494138294138294,False,5.507190002640148,False,0.9531995746850687,False
canagliflozin,Hyperglycaemia,3,514,288,51887,1.221977610192515,False,1.223487661962532,False,0.06094961414871844,True
canagliflozin,Hypernatraemia,1,516,18,52157,8.166962329124491,False,8.187776353313623,False,1.1277927300863893,False
canagliflozin,Hypertension,2,515,175,52000,1.434841434841435,False,1.436950268182082,False,0.16057097405478893,False
canagliflozin,Hypertriglyceridaemia,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Hypocalcaemia,1,516,30,52145,4.953731248813216,False,4.965213527367369,False,0.8994011661786995,False
canagliflozin,Hypoglycaemia,5,512,875,51300,0.6327724477353261,False,0.6288314691256565,False,-0.7318669441211941,False
canagliflozin,Hypomagnesaemia,1,516,43,52132,3.4733058181334044,False,3.4804887004706746,False,0.6869997239983497,False
canagliflozin,Hypophagia,1,516,53,52122,2.824089777360805,False,2.82938723073165,False,0.5425510430961686,False
canagliflozin,Hypotension,1,516,408,51767,0.3698624310619415,False,0.3680324090805144,False,-1.5891243020967147,False
canagliflozin,Illness,1,516,82,52093,1.8313794313794312,False,1.8337938924579777,False,0.1905865452379589,False
canagliflozin,Impaired driving ability,1,516,2,52173,60.435521235521236,False,60.6081316553727,False,1.5024364558048016,False
canagliflozin,Inappropriate schedule of product administration,1,516,75,52100,2.001176199851696,False,2.0040837783604624,False,0.26801516063884,False
canagliflozin,Infected skin ulcer,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Infection,2,515,40,52135,6.217646217646218,False,6.2429500305348995,False,1.4546753867178313,False
canagliflozin,Influenza,1,516,61,52114,2.456728505508993,False,2.460959082001275,False,0.4365780719141119,False
canagliflozin,Infrequent bowel movements,1,516,6,52169,23.244431244431247,False,23.30903269044605,False,1.3992680671110613,False
canagliflozin,Insomnia,1,516,87,52088,1.7267291781577494,False,1.7288397178813442,False,0.13771892738357394,False
canagliflozin,Intentional product misuse,1,516,73,52102,2.0556299739973207,False,2.058695695122192,False,0.29092294790347034,False
canagliflozin,Intermittent claudication,1,516,3,52172,43.16822945394374,False,43.29069285022818,False,1.4759444988283896,False
canagliflozin,International normalised ratio increased,1,516,19,52156,7.748143748143748,False,7.767741455059945,False,1.1073168298304974,False
canagliflozin,Interstitial lung disease,1,516,22,52153,6.715057915057915,False,6.731655372700871,False,1.0475771042829805,False
canagliflozin,Intervertebral disc protrusion,1,516,14,52161,10.419917454400212,False,10.44727442667824,False,1.212732394617833,False
canagliflozin,Intestinal obstruction,1,516,11,52164,13.138156790330703,False,13.173407971715982,False,1.2798888976284937,False
canagliflozin,Ischaemic stroke,1,516,6,52169,23.244431244431247,False,23.30903269044605,False,1.3992680671110613,False
canagliflozin,Ketoacidosis,6,511,157,52018,4.156940614083471,True,4.197058138993623,True,1.6305224426177594,True
canagliflozin,Ketonuria,1,516,17,52158,8.633645890788747,False,8.655815239939152,False,1.1485634300122833,False
canagliflozin,Ketosis,1,516,31,52144,4.796469939327082,False,4.807495505462591,False,0.8819051250459351,False
canagliflozin,Lactic acidosis,3,514,3086,49089,0.11422016541083446,False,0.10819445225036393,False,-3.1378994094036807,False
canagliflozin,Lacunar infarction,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Large intestine polyp,1,516,10,52165,14.389409817981246,False,14.42829484165399,False,1.302987523255033,False
canagliflozin,Laryngeal squamous cell carcinoma,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Leg amputation,1,516,10,52165,14.389409817981246,False,14.42829484165399,False,1.302987523255033,False
canagliflozin,Leukocytosis,1,516,38,52137,3.924384495813067,False,3.9328773839906463,False,0.7650365205193962,False
canagliflozin,Limb amputation,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Limb discomfort,1,516,40,52135,3.7305877305877306,False,3.738517801441325,False,0.7333134996959976,False
canagliflozin,Liver disorder,1,516,27,52148,5.494138294138294,False,5.507190002640148,False,0.9531995746850687,False
canagliflozin,Localised infection,1,516,5,52170,27.47069147069147,False,27.547566663733168,False,1.4243767861847927,False
canagliflozin,Loss of personal independence in daily activities,1,516,32,52143,4.648886248886249,False,4.659483207982724,False,0.864618724364646,False
canagliflozin,Low density lipoprotein increased,1,516,6,52169,23.244431244431247,False,23.30903269044605,False,1.3992680671110613,False
canagliflozin,Lumbar spinal stenosis,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Lung neoplasm malignant,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Lymphadenopathy,1,516,8,52167,17.77515330456507,False,17.823871077956838,False,1.3503247648202354,False
canagliflozin,Malaise,3,514,379,51796,0.9289605811344942,False,0.9284773197816676,False,-0.279457100146814,False
canagliflozin,Medication error,2,515,100,52075,2.50561862502161,False,2.51292036423122,False,0.7361991641184898,False
canagliflozin,Metabolic acidosis,2,515,909,51266,0.2768715468000789,False,0.27336461928698524,False,-1.9166282225070037,False
canagliflozin,Metastases to central nervous system,1,516,3,52172,43.16822945394374,False,43.29069285022818,False,1.4759444988283896,False
canagliflozin,Metastatic renal cell carcinoma,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Motion sickness,1,516,2,52173,60.435521235521236,False,60.6081316553727,False,1.5024364558048016,False
canagliflozin,Movement disorder,1,516,15,52160,9.74766471540665,False,9.773069356400088,False,1.1910240633232174,False
canagliflozin,Multiple organ dysfunction syndrome,1,516,167,52008,0.9020227050077796,False,0.9017381630087703,False,-0.5182811011242617,False
canagliflozin,Muscle disorder,1,516,3,52172,43.16822945394374,False,43.29069285022818,False,1.4759444988283896,False
canagliflozin,Muscle spasms,2,515,96,52079,2.609478464400744,False,2.617283888573396,False,0.77442877130512,False
canagliflozin,Myalgia,1,516,104,52071,1.4458258668784982,False,1.4471206177019598,False,-0.028788173761012486,False
canagliflozin,Myocardial infarction,3,514,135,52040,2.6017752069412587,True,2.612671636920451,True,0.916698437653323,True
canagliflozin,Nasopharyngitis,1,516,83,52092,1.80944674357848,False,1.8117975085646711,False,0.1798568982652051,False
canagliflozin,Nausea,7,510,652,51523,1.1577686060444683,False,1.1600864601979128,False,0.1065737693999652,True
canagliflozin,Necrotising fasciitis,1,516,12,52163,12.087104247104246,False,12.119303000968054,False,1.2571542779049296,False
canagliflozin,Necrotising soft tissue infection,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Neoplasm malignant,2,515,36,52139,6.899032104511557,False,6.9276404076372184,False,1.5181290993215564,False
canagliflozin,Neoplasm skin,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Nephritis bacterial,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Nephrogenic anaemia,2,515,4,52171,55.958815958815954,False,56.225347559004206,False,2.161342380350999,False
canagliflozin,Nephrolithiasis,1,516,32,52143,4.648886248886249,False,4.659483207982724,False,0.864618724364646,False
canagliflozin,Nephrotic syndrome,1,516,4,52171,33.575289575289574,False,33.66989351403679,False,1.4499302501367093,False
canagliflozin,Nervous system disorder,1,516,18,52157,8.166962329124491,False,8.187776353313623,False,1.1277927300863893,False
canagliflozin,Neuralgia,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Neuroendocrine tumour,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Neurogenic bladder,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,No adverse event,1,516,26,52149,5.701464267502003,False,5.715118084348573,False,0.9715876189471693,False
canagliflozin,Ocular myasthenia,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Oedema peripheral,1,516,88,52087,1.707218113997775,False,1.7092719904179041,False,0.12737397094043107,False
canagliflozin,Off label use,6,511,261,51914,2.5037022819049586,True,2.522810913053311,True,1.0590169032970969,True
canagliflozin,Orthopaedic procedure,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Orthostatic hypotension,1,516,15,52160,9.74766471540665,False,9.773069356400088,False,1.1910240633232174,False
canagliflozin,Osteomyelitis,3,514,8,52167,41.475357710651835,True,41.75070028011204,True,2.5253799445914806,True
canagliflozin,Osteomyelitis chronic,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
